ANNUAL AP PROGRAM PARTICIPATION 1956-2017,,,,,,,,,,,,,,,,,,,,,, ,,,,
Year,Schools*,Students,no data,Exams,Colleges,,,,,,,,,,,,,,,,,,,,,
2011-12,"18,647","2,099,948",no data,"3,698,407","4,005",,,,,,,,,,,,,,,,,,,,,
2012-13,"18,920","2,218,578",no data,"3,938,100","4,027",,,,,,,,,,,,,,,,,,,,,
2013-14,"19,493","2,342,528",no data,"4,176,200","4,121",,,,,,,,,,,,,,,,,,,,,
2014-15,"21,594","2,483,452",,"4,478,936","4,154",,,,,,,,,,,,,,,,,,,,,
2015-16,"21,953","2,611,172",,"4,704,980","4,199",,,,,,,,,,,,,,,,,,,,,
2016-17,"22,169","2,741,426",,"4,957,931","4,221",,,,,,,,,,,,,,,,,,,,,
no data,Totals,"38,273,588",**,"64,985,717",no data,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"*This represents the number of schools offering AP Exams to one or more students. Beginning in 2015, the school counts include schools that did not order or administer AP Exams, but had students test at other schools. These schools were not included in prior years' counts. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
**This number is slightly inflated because some students take exams in more than one year.,,,,,,,,,,,,,,,,,,,,,,,,,,
end of worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
